Symbol,Maturity,Current Price,Trend,Trend Score,Composite Score,Belief Quality,Quantiment (%),Sentiment,Reference Return (%),Risk,Safety,Safety Score,Healthy Score,Reference Rating,Reference State,Strategic Signal,sharpRatio,Summary,Reference Prices,Category signal,Safety Band,Health Band,Investor Type,Current Stance,Portfolio Role,Risk Label,Investor Fit Score,Interpretation
U/USDT,MATURE,1,Unknown,0,1.01,25,50,Neutral,0,Low Risk,Safe,99.6,41.7,C,Caution,Risk Mitigation,-11.00588974,"WATCHLIST: Reference return -0.0%, Safety 99.6/100, Risk: Low Risk","Risk Reference Prices (Current: 1.00) | Lower Warning: 0.95, Lower Danger: 0.9, Upper Warning: 1.05, Upper Danger: 1.1",WATCHLIST,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,63.64,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
PAXG/USDT,MATURE,4599.65,Downward,-1,1.32,70,41.83,Neutral,-0.45,Low Risk,Mediate,60.1,43.9,C,Caution,Risk Mitigation,1.047927413,"WATCHLIST: Reference return -0.4%, Safety 60.1/100, Risk: Low Risk","Risk Reference Prices (Current: 4599.65) | Lower Warning: 4369.67, Lower Danger: 4139.68, Upper Warning: 4829.63, Upper Danger: 5059.62",WATCHLIST,Defensive,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Defensive | Strong,57.19,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
D/USDT,MATURE,0.02,Downward,-1,4.66,85,37.58,Bearish,-5.4,High Risk,Caution,0,42.3,C,Caution,Risk Mitigation,0.126933497,"WATCHLIST: Reference return -5.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.02) | Lower Warning: 0.01, Lower Danger: 0.01, Upper Warning: 0.02, Upper Danger: 0.02",WATCHLIST,Speculative,Strong,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Strong,45.85,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
ZEC/USDT,MATURE,244.99,Downward,-1,2.84,65,56.09,Neutral,-1.48,High Risk,Caution,0,39.2,C,Caution,Risk Mitigation,1.975566083,"WATCHLIST: Reference return -1.5%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 244.99) | Lower Warning: 232.74, Lower Danger: 220.49, Upper Warning: 257.24, Upper Danger: 269.49",WATCHLIST,Speculative,Acceptable,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Acceptable,39.22,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
TRX/USDT,MATURE,0.32,Upward,1,0.67,85,53.62,Neutral,1.17,Low Risk,Mediate,62.7,46,C+,Watchlist,Double Check,-0.572461641,"WATCHLIST: Reference return 1.2%, Safety 62.7/100, Risk: Low Risk","Risk Reference Prices (Current: 0.32) | Lower Warning: 0.3, Lower Danger: 0.29, Upper Warning: 0.33, Upper Danger: 0.35",WATCHLIST,Defensive,Strong,Conservative,Selective Exposure,Core Allocation,Low Risk | Defensive | Strong,60.53,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
TAO/USDT,MATURE,308.6,Upward,1,1.52,85,75.17,Bullish,1.09,High Risk,Caution,0,42.9,C,Caution,Risk Mitigation,0.158532861,"WATCHLIST: Reference return 1.1%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 308.60) | Lower Warning: 293.17, Lower Danger: 277.74, Upper Warning: 324.03, Upper Danger: 339.46",WATCHLIST,Speculative,Strong,Balanced Aggressive,Selective Exposure,Growth Allocation,High Risk | Speculative | Strong,41.94,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current setup allows selective exposure under controlled sizing.
MMT/USDT,MATURE,0.15,Downward,-1,-1.5,35,41.18,Neutral,-1.83,High Risk,Caution,0,0.5,D,Underweight,Conservative Allocation,-2.298394396,"WATCHLIST: Reference return -1.8%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.15) | Lower Warning: 0.14, Lower Danger: 0.13, Upper Warning: 0.15, Upper Danger: 0.16",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,10.77,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
PEPE/USDT,MATURE,0,Downward,-1,0.24,50,44.37,Neutral,-2.29,High Risk,Caution,0,19,D,Underweight,Conservative Allocation,-1.17087802,"WATCHLIST: Reference return -2.3%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.00) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.0, Upper Danger: 0.0",WATCHLIST,Speculative,Weak,Speculative,Watch / DCA Only,Tactical Satellite Position,High Risk | Speculative | Weak,23.24,Suitable only for high-risk tactical or speculative positioning. Current weakness suggests observation or gradual accumulation only.
ADA/USDT,MATURE,0.25,Downward,-1,0.21,50,45.89,Neutral,-1.28,High Risk,Caution,0,19,D,Underweight,Conservative Allocation,-2.066013442,"WATCHLIST: Reference return -1.3%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.25) | Lower Warning: 0.24, Lower Danger: 0.23, Upper Warning: 0.26, Upper Danger: 0.28",WATCHLIST,Speculative,Weak,Speculative,Watch / DCA Only,Tactical Satellite Position,High Risk | Speculative | Weak,23.31,Suitable only for high-risk tactical or speculative positioning. Current weakness suggests observation or gradual accumulation only.
SUI/USDT,MATURE,0.87,Downward,-1,-1.35,35,45.34,Neutral,-1.4,High Risk,Caution,0,2,D,Underweight,Conservative Allocation,-2.043424637,"WATCHLIST: Reference return -1.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.87) | Lower Warning: 0.83, Lower Danger: 0.78, Upper Warning: 0.91, Upper Danger: 0.96",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,12.01,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
FDUSD/USDT,MATURE,1,Upward,1,-1.24,55,50.01,Neutral,0,Low Risk,Safe,99.2,27.3,D,Underweight,Conservative Allocation,-4.021147543,"WATCHLIST: Reference return 0.0%, Safety 99.2/100, Risk: Low Risk","Risk Reference Prices (Current: 1.00) | Lower Warning: 0.95, Lower Danger: 0.9, Upper Warning: 1.05, Upper Danger: 1.1",WATCHLIST,Safe,Acceptable,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Acceptable,58.06,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
EUR/USDT,MATURE,1.15,Downward,-1,1.24,65,49.03,Neutral,-0.19,Low Risk,Safe,90.6,49.5,C+,Watchlist,Double Check,-1.247058278,"WATCHLIST: Reference return -0.2%, Safety 90.6/100, Risk: Low Risk","Risk Reference Prices (Current: 1.15) | Lower Warning: 1.09, Lower Danger: 1.04, Upper Warning: 1.21, Upper Danger: 1.27",WATCHLIST,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,69.31,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
GIGGLE/USDT,MATURE,24.97,Downward,-1,0.43,60,47.76,Neutral,-4.14,High Risk,Caution,0,23.4,D,Underweight,Conservative Allocation,-0.589336914,"WATCHLIST: Reference return -4.1%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 24.97) | Lower Warning: 23.72, Lower Danger: 22.47, Upper Warning: 26.22, Upper Danger: 27.47",WATCHLIST,Speculative,Weak,Speculative,Watch / DCA Only,Tactical Satellite Position,High Risk | Speculative | Weak,26.87,Suitable only for high-risk tactical or speculative positioning. Current weakness suggests observation or gradual accumulation only.
LINK/USDT,MATURE,8.85,Downward,-1,-1.32,35,50.62,Neutral,-0.22,High Risk,Caution,4.5,3.9,D,Underweight,Conservative Allocation,-1.681473451,"WATCHLIST: Reference return -0.2%, Safety 4.5/100, Risk: High Risk","Risk Reference Prices (Current: 8.85) | Lower Warning: 8.41, Lower Danger: 7.96, Upper Warning: 9.29, Upper Danger: 9.74",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,14.76,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
WLD/USDT,MATURE,0.25,Downward,-1,-2.92,20,40.18,Neutral,-3.09,High Risk,Caution,0,-7.9,D,Underweight,Conservative Allocation,-2.171317592,"WATCHLIST: Reference return -3.1%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.25) | Lower Warning: 0.24, Lower Danger: 0.22, Upper Warning: 0.26, Upper Danger: 0.27",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,2.35,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
FET/USDT,MATURE,0.24,Upward,1,0.57,85,56.1,Neutral,-0.53,High Risk,Caution,0,31,D,Underweight,Conservative Allocation,-0.675593393,"WATCHLIST: Reference return -0.5%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.24) | Lower Warning: 0.22, Lower Danger: 0.21, Upper Warning: 0.25, Upper Danger: 0.26",WATCHLIST,Speculative,Acceptable,Balanced Aggressive,Selective Exposure,Growth Allocation,High Risk | Speculative | Acceptable,34.08,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current setup allows selective exposure under controlled sizing.
SOLV/USDT,MATURE,0,Downward,-1,1.02,85,35.56,Bearish,-5.79,High Risk,Caution,0,31.7,D,Underweight,Conservative Allocation,-1.797869365,"WATCHLIST: Reference return -5.8%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.00) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.0, Upper Danger: 0.0",WATCHLIST,Speculative,Acceptable,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Acceptable,33.37,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
BCH/USDT,MATURE,428.5,Downward,-1,-1.74,10,49.49,Neutral,-0.2,Low Risk,Mediate,41.3,3.6,D,Underweight,Conservative Allocation,-0.562905384,"WATCHLIST: Reference return -0.2%, Safety 41.3/100, Risk: Low Risk","Risk Reference Prices (Current: 428.50) | Lower Warning: 407.08, Lower Danger: 385.65, Upper Warning: 449.92, Upper Danger: 471.35",WATCHLIST,Caution,Fragile,Moderately Conservative,Avoid / Too Fragile,Core Allocation,Low Risk | Caution | Fragile,22.63,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current profile appears too fragile for normal allocation."
XPL/USDT,MATURE,0.12,Downward,-1,1.45,75,50.97,Neutral,0.4,High Risk,Caution,0,35.7,C,Caution,Risk Mitigation,-1.683037289,"WATCHLIST: Reference return 0.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.12) | Lower Warning: 0.12, Lower Danger: 0.11, Upper Warning: 0.13, Upper Danger: 0.13",WATCHLIST,Speculative,Acceptable,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Acceptable,35.68,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
币安人生/USDT,MATURE,0.07,Unknown,0,-0.29,25,29.53,Bearish,-4.89,High Risk,Caution,0,6.5,D,Underweight,Conservative Allocation,-0.608391634,"WATCHLIST: Reference return -4.9%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.07) | Lower Warning: 0.07, Lower Danger: 0.06, Upper Warning: 0.07, Upper Danger: 0.08",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,12.93,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
NEAR/USDT,MATURE,1.25,Downward,-1,-1.07,35,53.1,Neutral,-0.05,High Risk,Caution,4.9,6.2,D,Underweight,Conservative Allocation,-1.023266997,"WATCHLIST: Reference return -0.1%, Safety 4.9/100, Risk: High Risk","Risk Reference Prices (Current: 1.25) | Lower Warning: 1.18, Lower Danger: 1.12, Upper Warning: 1.31, Upper Danger: 1.37",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,16.46,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
ENA/USDT,MATURE,0.08,Downward,-1,-2.27,10,39.41,Bearish,-5.29,High Risk,Caution,0,-8.3,D,Underweight,Conservative Allocation,-2.762738793,"WATCHLIST: Reference return -5.3%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.08) | Lower Warning: 0.08, Lower Danger: 0.07, Upper Warning: 0.08, Upper Danger: 0.09",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,2.28,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
KITE/USDT,MATURE,0.14,Upward,1,-1.79,20,53.03,Neutral,1.84,High Risk,Caution,0,0.7,D,Underweight,Conservative Allocation,1.36188687,"WATCHLIST: Reference return 1.8%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.14) | Lower Warning: 0.13, Lower Danger: 0.13, Upper Warning: 0.15, Upper Danger: 0.15",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,9.04,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
ALGO/USDT,MATURE,0.12,Downward,-1,0.5,60,47.23,Neutral,-2.32,High Risk,Caution,0,24,D,Underweight,Conservative Allocation,-0.960121244,"WATCHLIST: Reference return -2.3%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.12) | Lower Warning: 0.12, Lower Danger: 0.11, Upper Warning: 0.13, Upper Danger: 0.13",WATCHLIST,Speculative,Weak,Speculative,Watch / DCA Only,Tactical Satellite Position,High Risk | Speculative | Weak,27.17,Suitable only for high-risk tactical or speculative positioning. Current weakness suggests observation or gradual accumulation only.
LTC/USDT,MATURE,54.04,Downward,-1,-1.52,45,56.26,Neutral,0.01,High Risk,Caution,20.7,8.8,D,Underweight,Conservative Allocation,-1.409234241,"WATCHLIST: Reference return 0.0%, Safety 20.7/100, Risk: High Risk","Risk Reference Prices (Current: 54.04) | Lower Warning: 51.34, Lower Danger: 48.64, Upper Warning: 56.74, Upper Danger: 59.44",WATCHLIST,Risky,Fragile,Speculative,High Risk Tactical Only,Tactical Satellite Position,High Risk | Risky | Fragile,23.46,"Suitable only for high-risk tactical or speculative positioning. Current profile is only suitable for tactical, high-risk participation."
AVAX/USDT,MATURE,9.07,Downward,-1,-1.32,35,50.37,Neutral,-0.71,High Risk,Caution,0,3,D,Underweight,Conservative Allocation,-2.160527728,"WATCHLIST: Reference return -0.7%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 9.07) | Lower Warning: 8.62, Lower Danger: 8.16, Upper Warning: 9.52, Upper Danger: 9.98",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,12.89,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
ME/USDT,MATURE,0.1,Downward,-1,-0.63,25,37.09,Bearish,-3.86,High Risk,Caution,0,4.5,D,Underweight,Conservative Allocation,-2.450807215,"WATCHLIST: Reference return -3.9%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.10) | Lower Warning: 0.1, Lower Danger: 0.09, Upper Warning: 0.11, Upper Danger: 0.11",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,12.23,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
AAVE/USDT,MATURE,94.19,Downward,-1,-2.86,20,50.48,Neutral,-2.62,High Risk,Caution,4.3,-5.4,D,Underweight,Conservative Allocation,-1.742161416,"WATCHLIST: Reference return -2.6%, Safety 4.3/100, Risk: High Risk","Risk Reference Prices (Current: 94.19) | Lower Warning: 89.48, Lower Danger: 84.77, Upper Warning: 98.9, Upper Danger: 103.61",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,5.78,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
UNI/USDT,MATURE,3.16,Downward,-1,-2.11,10,48.78,Neutral,-1.26,High Risk,Caution,0,-6.4,D,Underweight,Conservative Allocation,-1.122983521,"WATCHLIST: Reference return -1.3%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 3.16) | Lower Warning: 3.0, Lower Danger: 2.84, Upper Warning: 3.31, Upper Danger: 3.47",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,4.18,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
XLM/USDT,MATURE,0.16,Downward,-1,-1.32,35,49.28,Neutral,-1.28,High Risk,Caution,8.8,4.6,D,Underweight,Conservative Allocation,-1.72811178,"WATCHLIST: Reference return -1.3%, Safety 8.8/100, Risk: High Risk","Risk Reference Prices (Current: 0.16) | Lower Warning: 0.15, Lower Danger: 0.15, Upper Warning: 0.17, Upper Danger: 0.18",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,16.34,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
PIXEL/USDT,MATURE,0.01,Upward,1,-1.57,55,49.98,Neutral,-4.42,High Risk,Caution,0,5.4,D,Underweight,Conservative Allocation,-0.826900709,"WATCHLIST: Reference return -4.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.01, Lower Danger: 0.01, Upper Warning: 0.01, Upper Danger: 0.01",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,15.94,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
DOT/USDT,MATURE,1.25,Downward,-1,-2.61,20,47.67,Neutral,-3.01,High Risk,Caution,12.4,-3.6,D,Underweight,Conservative Allocation,-1.579149799,"WATCHLIST: Reference return -3.0%, Safety 12.4/100, Risk: High Risk","Risk Reference Prices (Current: 1.25) | Lower Warning: 1.18, Lower Danger: 1.12, Upper Warning: 1.31, Upper Danger: 1.37",WATCHLIST,Risky,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Risky | Fragile,9.5,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
BARD/USDT,MATURE,0.31,Downward,-1,-1.62,40,47.17,Neutral,-1.35,High Risk,Caution,0,1.7,D,Underweight,Conservative Allocation,-0.594729696,"WATCHLIST: Reference return -1.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.31) | Lower Warning: 0.29, Lower Danger: 0.28, Upper Warning: 0.32, Upper Danger: 0.34",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,12.18,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
COS/USDT,MATURE,0,Upward,1,-1.26,55,54.51,Neutral,-2.62,High Risk,Caution,0,8,D,Underweight,Conservative Allocation,0.01677463,"WATCHLIST: Reference return -2.6%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.00) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.0, Upper Danger: 0.0",WATCHLIST,Speculative,Fragile,Speculative,High Risk Tactical Only,Tactical Satellite Position,High Risk | Speculative | Fragile,17.95,"Suitable only for high-risk tactical or speculative positioning. Current profile is only suitable for tactical, high-risk participation."
THE/USDT,MATURE,0.1,Downward,-1,-0.28,45,38.48,Bearish,-1.32,High Risk,Caution,0,12,D,Underweight,Conservative Allocation,-0.926655897,"WATCHLIST: Reference return -1.3%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.10) | Lower Warning: 0.1, Lower Danger: 0.09, Upper Warning: 0.11, Upper Danger: 0.11",WATCHLIST,Speculative,Weak,Speculative,High Risk Tactical Only,Tactical Satellite Position,High Risk | Speculative | Weak,18.5,"Suitable only for high-risk tactical or speculative positioning. Current profile is only suitable for tactical, high-risk participation."
NOM/USDT,MATURE,0.01,Downward,-1,1.77,85,31.5,Bearish,-8.55,High Risk,Caution,0,35.9,C,Caution,Risk Mitigation,-0.783033127,"WATCHLIST: Reference return -8.6%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.01, Lower Danger: 0.0, Upper Warning: 0.01, Upper Danger: 0.01",WATCHLIST,Speculative,Acceptable,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Acceptable,36.1,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
